"","folio","Edo","VERSION","INCIO","B","C","p1","p2a","p2b","p2c","P4","P5","p6","p7","P8","P9","P10A","P10B","P10C","P10D","P10E","P11","P12A","P12B","P12C","P12D","P12E","P12F","P12G","P12H","P12I","P12J","P12K","P12L","P12M","P12N","P12O","P12P","P12Q","P13A","P13B","P13C","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","p26","P27","P28","P29A","P29B","P29C","P29D","P29E","P29F","P29G","P30","P31","P32","P33","P34","P35A","P35B","P35D","P35E","P36","P37","P38A","P38B","P38C","P38D","P38E","P39A","P39B","P39C","P39D","P40","P41A","P41B","P41C","P42","P43","P44","P45","P46A","P46B","P46C","P46D","P46E","P46F","P46G","P47","boleta1","boleta2","FINAL","DIA","escol_x","gedad","cruce","ponde_rake","cve_unica_sec","circ","ClaveEntidad","Entidad","ClaveMun","Municipio","DistritoFederal","SECCION","Tipo1","FE_Final_","p1_recodificada","p19_recodificada"
"1",1,"Aguascalientes","Versión A",1303,"Mujer","31","Seguridad / Inseguridad","Inseguridad pública","Mal gobierno","Economía","Aprueba algo","Que permanezca","Robo","Injusticia","La cultura y educación","Sí se justifica","No","No","No","No","No","En el Gobierno y sector público","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Ns/Nc","Corrupto","Ns/Nc","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Poco frecuente","Sirve","Sí","Ninguna","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Igual","Disminuirá","No","No","No","Ns/Nc","No","No","No","Los ciudadanos","Bien","Ns/Nc","Sí","Mayores","Algo","Algo","Mucho","Mucho","Impartición de justicia","Las personas son honestas y no necesitan ser vigiladas","Algo","Mucha","Algo","Algo","Algo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","Ninguno","Universidad terminada","Trabajador en el gobierno","Sí","No","Sí","Sí","No","Sí","Sí","Ns/Nc","MORENA","MORENA",1317,28,"Universidad o más","30-49",22,1.51895463734562,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",91356.7061520614,"Inseguridad",0
"2",2,"Aguascalientes","Versión B",1416,"Mujer","69","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Desempleo","Aprueba totalmente","Que permanezca","Mentiras","No cumplen / Trabajan a medias","La cultura y educación","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Poca","Mucha","Mucha","Algo","Algo","Nada","Poca","Mucha","Mucha","Poca","Poca","Poca","Mucha","Poca","Honesto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Sí","Una","Sí","1","No recuerda el monto","No aplica","No",NA,"Me solicitaron dinero","Aumentado","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","No","Mayores","Poco","Poco","Mucho","Mucho","Salud","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Nada","Poca","Poca","Poca","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No lo conoce","Castigar","Castigar","Castigar","PAN","PRD","Primaria","Ama de casa","No","Sí","No","Sí","No","No","No","Más de $32,000","MORENA","MORENA",1436,28,"Hasta primaria","50-+",23,1.35905504856531,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",81739.6317596588,"Inseguridad",1
"3",3,"Aguascalientes","Versión A",1443,"Mujer","40","Violencia","Economía","Corrupción","Inseguridad pública","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La cultura y educación","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Poca","Algo","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Ns/Nc","Ns/Nc","Algo","Algo","Algo","Ns/Nc","Honesto","Ns/Nc","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Sirve","No","Dos","No",NA,NA,"Sí","No",NA,"No he sido víctima de corrupción","Disminuido","Disminuirá","No","No","Sí","No","No","No","Sí","Los ciudadanos","Bien","Está siendo exitoso","No","Mayores","Poco","Poco","Mucho","Poco","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Ns/Nc","Castigar","Castigar","Castigar","Morena","PRI","Universidad terminada","Trabajador en el gobierno","Sí","Sí","Sí","Sí","No","Sí","Sí","$16,001 -  $ 20,000","MORENA","MORENA",1457,28,"Universidad o más","30-49",22,1.51895463734562,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",91356.7061520614,"Inseguridad",2
"4",4,"Aguascalientes","Versión B",1509,"Mujer","26","Educación / Becas","Mal gobierno","Corrupción","Inseguridad pública","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La cultura y educación","Sí se justifica","No","No","No","No","No","Entre los ciudadanos","Algo","Algo","Algo","Ns/Nc","Algo","Algo","Algo","Mucha","Algo","Algo","Mucha","Mucha","Poca","Poca","Algo","Algo","Ns/Nc","Corrupto","Honesto","Corrupto","La mayoría de las veces","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","Sí","Dos","No",NA,NA,"No aplica","Sí","No",NA,"Igual","Disminuirá","Sí","No","No","No","No","No","No","Los ciudadanos","Bien","Está siendo exitoso","Sí","No habría diferencia","Mucho","Nada","Nada","Algo","Programas sociales","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Poca","Mucha","Mucha","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","PRI","Universidad terminada","Profesionista independiente","Sí","No","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","Ns/Nc","Ns/Nc",1527,28,"Universidad o más","18-29",21,1.81604643463001,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",109225.131816259,"Problemas Sociales",2
"5",5,"Aguascalientes","Versión A",1629,"Mujer","84","Seguridad / Inseguridad","Pobreza","Economía","Desempleo","Desaprueba totalmente","Que permanezca","Corruptos","Ns/Nc","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Algo","Algo","Algo","Algo","Algo","Algo","Mucha","Algo","Mucha","Mucha","Mucha","Ns/Nc","Ns/Nc","Mucha","Algo","Ns/Nc","Corrupto","Ns/Nc","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Frecuentemente","Es inútil","No","Ninguna","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Aumentará","No","No","No","No","No","No","No","El Gobierno","Regular","Está fracasando","No","Mayores","Nada","Nada","Nada","Nada","Salud","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Algo","Algo","Algo","Mucha","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","PAN","PRD","Ninguno","Ama de casa","No","Sí","No","No","No","No","No","Ns/Nc","PRI","PRI",1650,28,"Hasta primaria","50-+",23,1.35905504856531,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",81739.6317596588,"Inseguridad",0
"6",6,"Aguascalientes","Versión B",1540,"Hombre","59","Violencia","Corrupción","Pobreza","Inseguridad pública","Aprueba totalmente","Que permanezca","PRI-PAN","Políticos","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Mucha","Nada","Mucha","Mucha","Mucha","Mucha","Nada","Mucha","Mucha","Ns/Nc","Corrupto","Honesto","Corrupto","Nunca","Nunca","Muy frecuentemente","Sirve","No","Ninguna","No",NA,NA,"No aplica","No",NA,"No sabía en dónde hacerlo","Aumentado","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Muy bien","Está siendo exitoso","Sí","Mayores","Mucho","Mucho","Mucho","Mucho","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRI","Secundaria","Trabajador por cuenta propia","Sí","No","Sí","Sí","No","Sí","Sí","Ns/Nc","MORENA","MORENA",1600,28,"Secundaria","50-+",13,0.602357732196415,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",36228.4804204912,"Inseguridad",0
"7",7,"Aguascalientes","Versión A",1701,"Hombre","44","Seguridad / Inseguridad","Inseguridad pública","Aumento de precios/Inflación","Mal gobierno","Aprueba algo","Que permanezca","Mal gobierno / Gobierno","Autoridades","La cultura y educación","Sí se justifica","Sí","Sí","Sí","Sí","No","En el Gobierno y sector público","Poca","Mucha","Mucha","Algo","Mucha","Mucha","Poca","Mucha","Algo","Algo","Mucha","Mucha","Mucha","Poca","Algo","Mucha","Poca","Corrupto","Honesto","Honesto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Sí","Tres","No",NA,NA,"Sí","No",NA,"No sirve denunciar","Aumentado","Disminuirá","Sí","Sí","No","No","No","No","Sí","Los ciudadanos","Bien","Está siendo exitoso","No","Mayores","Nada","Nada","Mucho","Nada","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Mucha","Mucha","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","Ninguno","Secundaria","Trabajador en sector privado","Sí","No","Sí","Sí","No","Sí","Sí","$10,001 -  $16,000","MORENA","Ninguno",1720,28,"Secundaria","30-49",12,0.746042711847861,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",44870.3359056695,"Inseguridad",3
"8",8,"Aguascalientes","Versión B",1736,"Hombre","32","Seguridad / Inseguridad","Pobreza","Corrupción","Inseguridad pública","Aprueba totalmente","Que permanezca","Policias","Inseguridad","La impunidad o falta de castigo","No se justifica","No","No","Sí","No","Sí","En el Gobierno y sector público","Poca","Mucha","Mucha","Mucha","Poca","Mucha","Poca","Mucha","Poca","Mucha","Mucha","Mucha","Mucha","Algo","Algo","Algo","Algo","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","No","Dos","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Igual","No","No","No","No","No","No","No","Los ciudadanos","Muy bien","Está siendo exitoso","Sí","Mayores","Poco","Poco","Algo","Mucho","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Mucha","Mucha","Mucha","Poca","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Bien","Castigar","Castigar","Castigar","Ninguno","PRI","Preparatoria o bachillerato sin terminar","Trabajador en sector privado","Sí","Sí","Sí","Sí","No","Sí","Sí","$6,001 -  $10,000","Candidato Independiente","Candidato Independiente",1750,28,"Secundaria","30-49",12,0.746042711847861,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",44870.3359056695,"Inseguridad",2
"9",9,"Aguascalientes","Versión A",1800,"Hombre","21","Desempleo","Inseguridad pública","Aumento de precios/Inflación","Corrupción","Aprueba algo","Que permanezca","Políticos","Delincuencia","La impunidad o falta de castigo","No se justifica","No","No","No","No","No","En el Gobierno y sector público","Algo","Algo","Mucha","Algo","Algo","Mucha","Algo","Algo","Algo","Poca","Mucha","Mucha","Mucha","Nada","Mucha","Mucha","Algo","Corrupto","Honesto","Corrupto","Sólo algunas veces/Casi nunca","Nunca","Muy frecuentemente","Es inútil","No","Una","No",NA,NA,"No aplica","No",NA,"No he sido víctima de corrupción","Aumentado","Disminuirá","No","No","No","No","No","No","No","El Gobierno","Bien","Está siendo exitoso","Sí","No habría diferencia","Poco","Poco","Algo","Poco","Impartición de justicia","Si las personas no son vigiladas es más probable que cometan algún acto de corrupción","Algo","Mucha","Mucha","Algo","Mucha","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Mal","Castigar","Castigar","Castigar","Morena","PRI","Preparatoria o bachillerato sin terminar","Estudiante","Sí","No","Sí","Sí","Sí","Sí","Sí","$10,001 -  $16,000","MORENA","MORENA",1816,28,"Secundaria","18-29",11,0.837221857629189,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",50354.2563754059,"Desempleo",1
"10",10,"Aguascalientes","Versión B",1828,"Hombre","18","Corrupción","Mal gobierno","Corrupción","Inseguridad pública","Aprueba totalmente","Que permanezca","Mal gobierno / Gobierno","Mal gobierno / Gobierno","La cultura y educación","Sí se justifica","Sí","Sí","Sí","Sí","Sí","En el Gobierno y sector público","Algo","Mucha","Mucha","Algo","Mucha","Mucha","Algo","Algo","Algo","Poca","Algo","Mucha","Algo","Nada","Algo","Mucha","Poca","Corrupto","Honesto","Corrupto","Nunca","Sólo algunas veces/Casi nunca","Muy frecuentemente","Es inútil","Sí","Tres","No",NA,NA,"No aplica","No",NA,"No sirve denunciar","Igual","Disminuirá","Sí","No","No","No","Sí","No","Sí","Los ciudadanos","Bien","Está siendo exitoso","Sí","Mayores","Poco","Nada","Algo","Poco","Economía","Las personas son honestas y no necesitan ser vigiladas","Mucha","Mucha","Mucha","Mucha","Algo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Bien","Castigar","Castigar","Castigar","Morena","PRD","Preparatoria o bachillerato","Estudiante","Sí","Sí","Sí","No","No","Sí","Sí","$6,001 -  $10,000","MORENA","MORENA",1845,28,"Preparatoria o equivalente","18-29",11,0.827720774556879,1010133,2,1,"Aguascalientes     ",1,"AGUASCALIENTES                                   ",2,133,"Urbano",49782.8188663305,"Corrupción",3
